,PC1,PC2,PC3
KUROMOJI TEA (Lindera umbellata branches),0.6504145007822173,-0.354162467122343,1.5173035900500353
KUROMOJI TEA (Lindera umbellata leaves),0.6504145730023624,-0.354162775958862,1.517304080170134
WHITE TEA,0.653565491730224,-0.35807644152595997,1.528662291828653
FERMENTED COCOA BEANS,0.16432060754548697,-0.36957163028726847,-0.0901206814372145
COCOA POWDER,-1.157454436385896,-0.8769805881157136,-6.697510167271308
COCOA BEANS (S. cerevisiae fermented and dried),0.6760493266750345,-0.36664711755943685,1.2825394718496828
COCOA BUTTER,-5.788190165041072,-1.4440686621535233,-5.944133523107768
MATE (roasted),0.9529938696273418,-0.4580037301373024,-3.304359468766095
MATCHA (GREEN TEA),0.6815806444546415,-0.4069459590601412,0.8772024551004132
ROASTED COCOA BEANS,1.1393462678105086,-0.6466394710899543,-3.7289589730635813
OOLONG TEA,0.7120817294296873,-0.47874836006716576,-1.3043723281877542
COCOA LIQUOR,-7.512706380833792,-2.801415898333624,-23.864290940725017
COFFEE,-665.5872911434077,0.6247607241636329,12.609888815256332
"FILBERT, HAZELNUT (roasted)",-0.8723774459228332,0.7666959874410042,-10.970096668011376
MACADAMIA NUT (Macadamia integrifolia) (raw),0.6519410786194824,-0.347717366887562,1.61694408484763
CASHEW NUT (roasted),0.6768004640909814,-0.32216216533827474,2.828660511727458
COCONUT (roasted),-1.6286487679302186,-0.2765478147263365,3.5749930789777564
CHINESE CHESTNUT (Castanea molissima) (roasted),-0.8037197618338338,-0.41614343994305153,1.1715906974856816
WALNUT KERNEL (Juglans regia L.),-0.9258324351830808,-0.5677014420925203,-1.5308619608330116
COCONUT MEAT,0.7099995138896593,-0.3645638166075698,1.9910590621579576
PECAN (raw),0.26640556392613757,-0.46304616084043565,-1.4461793591746723
COCONUT OIL,0.6638470023774704,-0.273563554010369,1.9104320325284487
ITALIAN CHESTNUT (Castanea sativa Mill.) (raw),0.6504142632407716,-0.35416136202859,1.5173022990538045
CANDLENUT (Aleurites moluccana),0.6564254276722968,-0.36247034520647164,1.5576695835438605
MACADAMIA NUT (Macadamia integrifolia) (roasted),0.6363669255871656,-0.383384983990398,1.0926920928832116
WALNUT STEM BARK (Juglans regia L.),0.6504120067093436,-0.35415806701717545,1.5172874851752454
WALNUT KERNEL OIL (Juglans regia L.),0.3127540918528214,-0.2989322905307315,0.6229192157713027
"FILBERT, HAZELNUT (raw)",1.2276759031263063,-0.35433697820380433,1.2615506607616604
ALMOND HULL (mission),0.5874286729965705,-0.36130690397849474,1.4165120149536818
PEANUT (roasted),-3.408781231049778,-2.436643969087767,-31.162456768292266
PISTACHIO NUT (Pistacia vera) (raw),0.6652502722016882,-0.35201338428862505,1.5415212064388113
CHESTNUT FLOWER,0.5445277198901297,-0.29314688500397906,1.6365541815499902
COCONUT MILK,0.6500640360906325,-0.3588290938089701,1.4900013413145585
ITALIAN CHESTNUT (Castanea sativa Mill.) (roasted),0.5250498512243247,-0.4178798651390535,0.18082772067335248
CHINESE CHESTNUT (Castanea molissima) (raw),0.6504142632407716,-0.35416136202859,1.5173022990538045
MANCHURIAN WALNUT (Juglans mandshurica Maxim.),0.6584493541804266,-0.3653443563928917,1.571643861867595
PECAN (roasted),0.4249256120058349,-0.3615233627381811,1.4393805694870396
PEANUT (raw),0.5961797328280145,-0.3507948451316027,0.9134731116702475
ALMOND HULL (nonpareil),0.5874286729965705,-0.36130690397849474,1.4165120149536818
ALMOND (roasted) (Prunus amygdalus),-1.1735715768468578,-0.3251641939633821,2.1615306972031325
WALNUT ROOT BARK (Juglans regia L.),0.6504128662337922,-0.3541595837991014,1.5172931425776808
PISTACHIO NUT (Pistacia vera) (roasted),0.8006148753602577,-0.39312929748163733,0.967747855200083
GREEN WALNUT HUSK (dried unripe)(Juglans regia L.),0.6583654238053185,-0.3671969969710683,1.490794178872771
CHINESE CHESTNUT (Castanea molissima) (boiled),-0.12725476195467522,-0.42122017831036473,0.9296798654723339
PEANUT OIL,0.4076439495862368,-0.48987654374815764,-1.2861548355421724
ALMOND OIL (Amygdalus communis),0.611425270815035,-0.3863496627068929,1.1007711199990253
BRAZIL NUT (Bertholletia excelsa),0.4029092980168425,-0.4158494147548974,0.6570233872184117
PEANUT BUTTER,1.1858244684021475,-0.44274881309730296,0.8059819656626138
CASHEW NUT (raw),0.660881641241641,-0.3281077724939216,2.3648633426873253
WALNUT PELLICLE (Juglans regia L.),0.6641772076511802,-0.3768768142467351,1.5637389116926532
ITALIAN CHESTNUT (Castanea sativa Mill.) (boiled),0.6504142632407716,-0.35416136202859,1.5173022990538045
CHICKEN BREAST (raw),0.6514907640915487,-0.35570533824495315,1.5251309308815022
"MORTADELLA (briefly cooked, stored",0.5464522343944768,-0.36203692152935213,0.9794509140912865
XUANWEI HAM,0.6504146876416402,-0.3541619201838742,1.5173049144324822
CHICKEN BREAST (cooked) (Leghorn breed),0.7274204490048153,-0.3819936050021631,1.6582220155876926
LAMB and MUTTON FAT (heated),0.8265725886283221,-0.6839335428171288,-2.567465473601829
"PORK, CURED (boiled, cooked)",0.8286634969180718,-0.5860594581492142,-4.910158515502022
CHICKEN SKIN (raw),0.6516991600231133,-0.3561002782726074,1.5266893851026344
BEEF (canned),-0.8528383119828681,-0.6105834198689643,-4.215331229334195
CHICKEN (roasted),0.9429608720462077,-0.5540862327303875,-0.9076036900377533
PORK LIVER,2.849469689083358,-0.9489484796189502,-11.508840531930813
CHICKEN BREAST (raw) (Leghorn breed),0.68417342718643,-0.37314383388224526,1.6091012524185055
CHICKEN BREAST (raw) (Ross,0.6891438503687282,-0.3742900130075437,1.6150055150216753
MUTTON (cooked),0.6548394442277066,-0.35178989120218856,1.621512941129486
CHICKEN (fried),-0.8765891659025784,-1.3552681682128922,-19.142985529675546
CHICKEN BREAST (cooked) (Hubbard Red JA breed),0.7182180559287779,-0.37751501469107884,1.6332748983786778
"BEEF (grilled, roasted)",-10.02891494365984,-2.045942990171798,-37.228665893489506
BEEF (fried),1.6151489983027183,-0.4748412124973525,-0.9815968000088341
"PORK, CURED (smoked)",-0.5208713630937276,-0.2548690412044179,0.3875456891516113
CHICKEN SKIN (sugar-smoked),0.6337382411456581,-0.3775577548011071,1.7856862750000893
STEWED BEEF JUICE,0.39878126381847423,-0.3825806475439225,1.167801082007119
CHICKEN BREAST (cooked) (Ross,0.7326801730812954,-0.37565356200098243,1.6227649510272253
LAMB (raw),0.6575507617497746,-0.3559016971594446,1.7405602589288385
"PORK, CURED (raw)",0.43875082704527835,-0.3837436175966587,-0.3323157896877048
BEEF (raw),0.557761240883608,-0.4090777124015377,0.4169427235310794
"BEEF (boiled, cooked)",-18.64846431485297,-6.56502091143509,-179.58983118093744
CHICKEN EGG (boiled),-1.743987851659486,-0.4781406045817824,-5.03922000853412
"PORK, CURED (fried)",-3.8736979058057366,-0.933905967497124,-6.971749278046256
"PORK, UNCURED (smoked)",0.014735810355682617,-0.36801315751547414,1.828289554161822
JINHUA HAM,0.22431783363775382,-0.0687074551344705,2.7000572101038154
"PORK, UNCURED (boiled, cooked)",-1.9835435940078479,-0.90446488916572,-17.1311234457271
CHICKEN BREAST (raw) (Naked Neck breed),0.6836292647003727,-0.3763885208713185,1.6255208071800442
"PORK, UNCURED (grilled, roasted)",0.6640525354317368,-0.37840879553012974,1.6198457086546987
CHICKEN (cooked),-1.9847286512255335,-1.3662704306854707,-18.34767000309634
LAMB (roasted),0.3963163963926562,-0.42430611637307314,0.40441129866623926
CHICKEN SKIN (baked),0.6554852213938448,-0.3614011487316444,1.5542476918724701
MUTTON (raw),0.6697161191139521,-0.30867631955193536,2.723387548847618
"MORTADELLA (traditionally cooked, fresh)",0.6268349128461185,-0.3493868272322422,1.3084690203316203
CHICKEN BREAST (baked),0.6781311421404208,-0.3930856669791701,1.7168006644423075
BEEF FAT (heated),0.1284033646118844,0.01305396661680905,-10.42302614221931
CHICKEN BREAST (sugar-smoked),0.6711138443882542,-0.38289184636793033,1.6686053687710027
PORK FAT (bacon),-1.754266836444751,-0.6276162469327956,-5.979169416236823
GUINEA HEN,0.6647991373489013,-0.35564468890461653,1.5633281708181208
ALLIGATOR MEAT - tail,0.6274301527528283,-0.3982421314500655,0.370157893395075
CHICKEN EGG (scrambled),0.49288836760806964,-0.4335338712470249,-0.14256025474694034
MUTTON (boiled),0.2572677837357214,-0.42990261344514163,-3.701900013452543
CHICKEN BREAST (raw) (Hubbard Red JA breed),0.6799596139425201,-0.3710254632785,1.6000755426977968
LAMB and MUTTON LIVER,0.12046357441928413,-0.4324384584757268,0.10197867486320407
CHICKEN (raw),0.7630025507885813,-0.4552516513441841,-0.359271777438324
CHICKEN BREAST (cooked) (Naked Neck breed),0.7452033391001374,-0.3780878466782728,1.634465632373469
"PORK, UNCURED (raw)",0.6180707385983683,-0.37334247645791807,1.1795300300505676
BEEF LIVER (fried),0.5288818729857163,-0.3813209061804113,1.0951485744057616
PORK LOIN (dry aged for,0.6700964437333282,-0.3736840467016953,1.4208035771797982
"MORTADELLA (briefly cooked, fresh)",0.6538465548510888,-0.3389777791201985,1.4159778762658755
CHICKEN FAT,-0.6202649490625625,-0.7804317194238862,-9.988588692201322
"PORK, UNCURED (fried and seasoned)",-0.5331053106308695,-0.3016030385528164,2.7233546142940175
"MORTADELLA (traditionally cooked, stored",0.6500560906232282,-0.34751139729503094,1.2713578824484568
TOMATO PASTE,-0.39442011831043466,-0.578791484908392,-2.682319973694653
PARSLEY ROOT,0.6558440030995286,-0.3619632387722673,1.5537411859169157
LAMB'S LETTUCE (Valerianella locusta),1.2326675975565218,-0.36126597332850624,0.12248275358371874
SOY PROTEIN (hydrolyzed),1.0887366573042865,-0.41659845905658377,0.22632779465733235
DEFATTED SOYBEAN,-0.29401329118174596,-0.4025121861004762,1.1851753369791873
POTATO (French fried),-10.438279600354559,-3.175185309074883,-59.17012871006625
SOUTHERNPEA (Vinga unguiculata L.),0.10640169655665685,-0.2964114913791665,0.8483067847753676
SPINACH (Spinacia oleracea L.) (cooked),0.701701666432768,-0.538558342794775,-1.0047786820263958
TOMATO JUICE,-1.0849592174307614,-0.45371115310911236,-2.8401825782028896
HORSERADISH (Armoracia lapathifolia),0.670844055374801,-0.39127257839404544,1.5493225547476974
SOYA-BEAN OIL,0.6350457411358871,-0.38664135605603356,1.2017628654299852
UDO (Aralia cordata Thunb.),0.6504145336983961,-0.354164362942406,1.517303742042349
PARSNIP ROOT (raw),0.426418855494186,-0.36911555870419654,1.3614965311719678
RHUBARB,-0.6700690215269536,-0.4454730154403846,0.6956253808470705
SOYBEAN,-3.778148545374284,-0.8965387809654086,-15.325521800526603
RADISH (fermented),0.6533611114685807,-0.38517118364514985,1.4776545651530562
SWEET POTATO (Ipomoea batatas) (heated),0.7046111804171246,-0.28600991654203256,0.5986240213638135
TOMATO FRESH,-2.4606173707561827,-1.1144425141818535,-12.624290795239162
CUCUMBER (Cucumis sativus L.),0.5735113892561585,-0.4096747124261029,1.1468879871883009
SOYBEAN (heated),0.3326926328386736,-0.45639966758945033,-0.1708050353920748
GREEN SOYBEAN (edamame),0.731993530893174,-0.3631023916408489,1.4003703838444088
CELERY ROOT (Apium graveolens L. var. rapaceum),0.39391878960685606,-0.392800432637748,1.4170655543214274
SPINACH (Spinacia oleracea L.) (dried),0.021190716969836296,-0.28767845276123877,1.487606413179153
OKRA (Hibiscus esculentus L.),3.2111849464338746,-0.47303708483460694,-3.456672994216803
"WAX GOURD, WINTER MELON (Benincasa hispada Cogn)",0.6510903396998038,-0.3540895598380838,1.5180167750650553
POTATO (baked),-6.000284162531716,-2.0450815650767926,-25.62558709775374
PARSLEY SEED OIL,0.661016625138926,-0.35712226079474585,1.6023247793110222
PEAS (Pisum sativum L.),-0.5802885934973404,-0.49382308465833746,-2.6935800237181033
"RUTABAGA, SWEDE (Brass. napus var. napobrass. L.)",0.6628844075257674,-0.39788984742131556,0.8571823208717988
WASABI (Wasabi japonica) (Japanese horseradish),0.6722139362030873,-0.38135974788788196,1.662043728655956
PALM OIL (elaeis oleifera),0.6504138231834816,-0.3541638791633237,1.5172986458640347
CELERY SEED OIL,0.6907304688196645,2.0421890919649144,1.3079475905898408
ENDIVE (Cichorium endivia L.),-0.22051300510311805,-0.6953649642911541,-3.6486054057141253
WATER SPINACH LEAF (ipomoea aquatica Forsk.),0.6569587109454349,-0.408139012675451,1.0983171813683654
GARDEN CRESS (Lepidium sativum L.),0.6517321420730583,-0.36034417013230235,1.5249876545490217
WATER SPINACH STEM (ipomoea aquatica Forsk.),0.6570878293453718,-0.4064369986800302,1.1498669400370896
WATER YAM (Dioscorea alata),0.4938797346634028,-0.2786478881551242,1.646418966773896
PUMPKIN (Cucurbita pepo L.),0.7256119878488102,-0.3915815438763622,1.0848421085826414
RADISH (raw),-0.4781183697778855,-0.4233904806595714,1.6399100853989028
PARSLEY LEAVES,0.6357073338855083,-0.39706408908785046,1.6462414780650612
LETTUCE (Lactuca sativa L.),-0.1211558985585834,-0.3829244064426032,1.0970859984597705
LENTILS,0.6709171229484596,-0.3535463701577105,1.526920963392967
PARSNIP ROOT (cooked),0.650414624672068,-0.3541647532225622,1.5173038609385112
BABY SPINACH (Spinacia oleracea L.) (raw),0.6598754547724723,-0.3811971901224509,1.5798609840637812
CHAYOTE (Sechium edule L.),0.5771907382183525,-0.43233751031706424,0.4031811970958904
PALM OIL (elaeis guineensis),0.6504138231834816,-0.3541638791633237,1.5172986458640347
CHICORY ROOT (roasted),0.5262372983384471,-0.3893199267456261,1.7955143328445857
SAUERKRAUT,0.6441368855978123,-0.36956124849137384,1.228263914868577
SHIBAZUKE (fermented sour vegetables),0.6503737085858263,-0.35480941442371927,1.5175253615047282
POTATO (cooked or boiled),0.6677109933182833,-0.22616373585577298,-1.5204912255583185
WATERCRESS (Nasturtium officinale R.Br.),0.5571159093204314,-0.4549203957473711,-2.0339867210927522
POTATO (raw),0.29504684714624035,-0.33186347789642573,0.6526731922047401
BRANDY DE JEREZ (Spanish brandy),0.6565292443760558,-0.37128896136601425,1.363781781279919
APRICOT BRANDY,0.649306137254751,-0.3572815338070265,1.486674858991749
PLUM BRANDY,-0.16780828514844973,0.668264116259352,-0.15323709739991795
EAU DE VIE DE CIDRE (Apple Brandy),0.6520873255342801,-0.2285445739957894,1.3190494698207613
"EAU DE VIE DE FIGUE (Fig Brandy, Tunisian)",0.6535093716173132,-0.2874918839897766,1.5017866876869383
BAIJIU (Chixiang Aroma),0.6504146876416402,-0.3541619201838742,1.5173049144324822
BOURBON WHISKY,0.3661717089943586,0.3560974265403564,0.612661736081177
TEQUILA (Agave tequilana),0.6389086147041866,-0.4993001594927063,-2.316565405257772
EAU DE VIE DE COING,0.39252984534779894,-0.39740333480610346,0.8233077615779505
MULBERRY SPIRIT (Mouro),0.6511041894367403,-0.22421594419103422,1.4672702069205785
IRISH WHISKY,0.6503429103519703,-0.19220239534903283,1.6003564000173731
"PISCO (Peruvian brandy, aromatic)",0.6666060912345919,-0.34307990603724736,1.5338659535959465
BRANDY (by-product from Spanish Holandas brandy),0.6485785480499725,-0.3538344138419511,1.515463717984429
EAU DE VIE,0.8273005422435763,-0.39200901348542705,-0.8657450501513552
GERMAN BRANDY,0.6145893510196292,-0.221006149265877,1.386399675788548
ARMAGNAC (French brandy),0.6519591424925748,-0.14179437430834677,0.9435878096977839
OUZO,0.652447240976118,-0.3560206720900447,1.5165341276155204
BAIJIU (Fenjui),0.6419620673925003,-0.35211715627398843,1.5320320571048291
SCOTCH BLENDED WHISKY,1.0021978464505044,-0.36594617720511996,-2.539205414703807
"BRANDY DE JEREZ (Solera Reserva, Spanish brandy)",0.6562228391108729,-0.3555343595658788,1.7577538370304329
MALT WHISKY,0.33031349322323966,0.3964059540637488,-5.2836713080059114
PASTIS,0.6504220854239908,-0.3540029038387931,1.5171460657351927
"BRANDY DE JEREZ(Sol. Gran Reserva, Spanish brandy)",0.6562930143724082,-0.3430724452986666,2.099290093552739
GRAPPA,0.15765853095962135,2.767239899441934,1.2867174327357456
"BRANDY DE JEREZ (Solera, Spanish brandy)",0.6671985382108678,-0.5697579365075857,0.1959192911821035
"GUOJING BAIJIU (sesame-flavor, aged)",0.37631729051287965,-0.41387356656057783,2.0218285939604694
SCOTCH WHISKY,0.6387186213926767,-0.24114872163881768,1.3363928687007596
APPLE BRANDY (unkn. type),0.6381128167507271,-0.19302057405422493,0.9787573973644056
RUM Category III (total volatiles,0.6439608465264979,-0.35217231797844145,1.6201206907903052
CELERY BRANDY,0.6585388307212361,-0.4379833256210921,-0.13040598601026832
CANADIAN WHISKY,0.6214972100663292,-0.2856119193850955,1.5225370631985682
RASPBERRY BRANDY,0.6513690397973098,-0.3655723958825099,1.4788687064387787
PEAR BRANDY,0.6269033917479212,-0.38173740620693924,-0.18467255582374037
JAPANESE WHISKY,0.09528020522067783,-0.5079721128684791,-1.5515191295158948
COGNAC (French brandy),-0.9624206335982478,-0.556223601152865,-35.09346516433061
"GUOJING BAIJIU (sesame-flavor, non-aged)",0.38269602337699327,-0.42825891510264785,2.3884215797605224
ARRACK,0.6482745391255954,-0.34060912038364494,1.291511317362805
BRANDY (unknown type),0.6509616459617795,-0.29739901265391816,1.142835661406457
MEZCAL (Agave salmiana),0.7535694711400263,-0.36568458865267633,1.2709537199640308
RUM Category unknown,-0.7069660267218603,-1.54082248972911,-45.03710454431371
APPLE BRANDY (''Alquitara'' distilled),0.6551939415387203,-0.17596921348493097,1.4258857321710066
RUM Category I (total volatiles >,0.6513250908854998,-0.3063040785516616,1.4763201457246136
"GRAPE BRANDY, OTHER TYPES",0.20438692011469126,-0.41376262666771074,-5.693654619869941
HOLANDAS (Spanish brandy),0.6494756334455419,-0.35380450067066105,1.5123465231316628
BAIJIU (Wuliangye),0.6431479698380178,-0.24298080455400473,1.6493076563316669
BLUEBERRY BRANDY,0.6504146772452211,-0.3541623494513641,1.517304711452508
WEINBRAND (German brandy),0.614157309101669,-0.3976041079786299,-0.962368279252383
"PISCO (Peruvian brandy, non-aromatic)",0.663372115700982,-0.3430869941471132,1.5346355924837458
RUM Category II (total volatiles,0.27650848828473185,-0.2724006832613373,5.8304397507875745
CHERRY BRANDY,0.6512135439754425,-0.3551115267877539,1.5680152541237993
AWAMORI (Japanese liquor),0.6507198181622891,-0.3538889595191983,1.5144072467862575
BAIJIU (Guotai),0.4900436339750159,-0.3340928835431155,1.5772003873204243
RAKI,0.5891061095392958,-0.15946281747447894,0.012859223215065175
BLACKBERRY BRANDY,0.6505587949440158,-0.3553121632096916,1.5069908612599547
PISCO (Chilean brandy),0.6516693111620875,-0.2282542209849252,1.4775568773941037
ARBUTUS DISTILLATE (Portuguese brandy),0.5925941788325847,-0.203547542557463,0.6397897140485616
FINNISH WHISKY,0.2769717214104756,-0.4853715478300634,-0.5896637607560703
GIN,0.6523644348713552,-0.35695062754075124,1.530530020605548
CHEDDAR CHEESE (age,0.6795499823451816,-0.4107792351458409,1.6291273399013129
BUTTER,-1.6673086287501664,-0.38323772255938043,-4.666658114452158
BRIE,0.6533574297211306,-0.3029614638979733,1.6153574074294426
PARMESAN CHEESE,-1.984826962307116,-0.34132334686163696,-3.5444364409869715
MILK RAW (cow),0.657417960550229,-0.3322179316883586,1.5598726692154146
RUSSIAN CHEESES,0.613937222294419,-0.23339846640587397,0.37900695686712016
MAASDAM CHEESE,0.6533402432303499,-0.3539932803211725,1.5113750205832626
MONTBELIARDE CHEESE,-0.04543032956090824,-0.39897829217137254,0.7084333105692263
SHEEP CHEESE,0.6565139259818281,-0.18162808284755574,1.8529493417134113
PARMIGIANO REGGIANO CHEESE,0.7055718624942238,-0.36502742121123305,1.4832004625899273
MILK PASTEURIZED (cow),0.6507420784375738,-0.3543081564095876,1.5175861742601509
"CREAM CHEESE (cholesterol-removed, fresh)",0.6523713182301373,-0.35798461514627744,1.5279933231444387
ROMANO CHEESE,0.6370219637096559,-0.23388453403209772,2.6833811363307767
FETA,0.46502291192926,-0.3339909168017405,1.3856440186853587
GRUYERE CHEESE,0.6554212851509003,-0.35907671035073485,1.5164085798994378
AFUEGA'l PITU,0.48224724270494435,-0.3801952820452607,1.0028671802158748
EMMENTAL CHEESE (half-ripe),0.6350301289888778,-0.3228156103933048,1.5008716564746254
