,Fruity,Floral,Woody,Earthy,Spicy,Green,Animalic,Marine,Smoky,Sulfurous
WILD MARJORAM (origanum vulgare L. ssp. vulgare),0,0,0,0,0,0,0,0,0,0
BITTER ORANGE JUICE (Citrus aurantium ssp. amara),0,0,0,0,0,0,0,0,0,0
Heated LICORICE (Glycyrrhiza inflata L.),0,0,0,0,0,0,0,0,0,0
COGNAC (French brandy),0,0,0,0,0,0,0,0,0,0
LAMB and MUTTON LIVER,0,0,0,0,0,0,1,0,0,0
CEDARWOOD OIL (J. ashei),0,0,1,0,0,0,0,0,0,0
WILD MARJORAM (origanum vulgare L. ssp. hirtum),0,0,0,0,0,0,0,0,0,0
MUTTON (raw),0,0,0,0,0,0,0,0,0,0
TAMARIND (Tamarindus indica L.),0,0,0,0,0,0,0,0,0,0
CHERIMOYA (Annona cherimolia Mill.),0,0,0,0,0,0,0,0,0,0
WHEY PROTEIN HYDROLYSATE,0,0,0,0,0,0,0,0,0,0
"MANGO (over-ripe purée, heated) (var. keaw)",1,0,0,0,0,0,0,0,0,0
BREAM (raw),0,0,0,0,0,0,0,0,0,0
CYMBOPOGOM NARDUS (citronella) OIL,0,0,0,0,0,0,0,0,0,0
TEMOE LAWAK (Curcuma xanthorrhiza Roxb.),0,0,0,0,0,0,0,0,0,0
